stratum,bin_id,bin_left,bin_right,bin_label,count_before,count_after,target_per_bin_effective,status
global,0,-3.3744493392070484e-07,33.74449339207048,"[-3.37445e-07, 33.7445)",90,10,10,sampled
global,1,33.74449339207048,67.48898678414096,"[33.7445, 67.489)",28,10,10,sampled
global,2,67.48898678414096,101.23348017621144,"[67.489, 101.233)",45,10,10,sampled
global,3,101.23348017621144,134.97797356828193,"[101.233, 134.978)",49,10,10,sampled
global,4,134.97797356828193,168.7224669603524,"[134.978, 168.722)",44,10,10,sampled
global,5,168.7224669603524,202.4669603524229,"[168.722, 202.467)",34,10,10,sampled
global,6,202.4669603524229,236.21145374449338,"[202.467, 236.211)",36,10,10,sampled
global,7,236.21145374449338,269.95594713656385,"[236.211, 269.956)",17,10,10,sampled
global,8,269.95594713656385,303.7004405286343,"[269.956, 303.7)",10,10,10,kept_all
global,9,303.7004405286343,337.4449342581498,"[303.7, 337.445)",12,10,10,sampled
