row_index,column,csv_value,resolved_path,exists
0,blue,Vineyard/Multispectral Images\leaf000d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf000d0_1.tif,True
0,green,Vineyard/Multispectral Images\leaf000d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf000d0_2.tif,True
0,red,Vineyard/Multispectral Images\leaf000d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf000d0_3.tif,True
0,nir,Vineyard/Multispectral Images\leaf000d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf000d0_4.tif,True
0,red_edge,Vineyard/Multispectral Images\leaf000d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf000d0_5.tif,True
4,blue,Vineyard/Multispectral Images\leaf004d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf004d0_1.tif,True
4,green,Vineyard/Multispectral Images\leaf004d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf004d0_2.tif,True
4,red,Vineyard/Multispectral Images\leaf004d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf004d0_3.tif,True
4,nir,Vineyard/Multispectral Images\leaf004d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf004d0_4.tif,True
4,red_edge,Vineyard/Multispectral Images\leaf004d0_5.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf004d0_5.tif,True
6,blue,Vineyard/Multispectral Images\leaf008d0_1.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf008d0_1.tif,True
6,green,Vineyard/Multispectral Images\leaf008d0_2.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf008d0_2.tif,True
6,red,Vineyard/Multispectral Images\leaf008d0_3.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf008d0_3.tif,True
6,nir,Vineyard/Multispectral Images\leaf008d0_4.tif,/home/usr3/Data/EstradaDataset/Vineyard/Multispectral Images/leaf008d0_4.tif,True
