common_id,representative_wavelength_nm,weighted_mean_wavelength_nm,wavelength_min_nm,wavelength_max_nm,wavelength_span_nm,representative_stage,representative_change_type,representative_score,representative_score_norm,cluster_score_sum_norm,cluster_score_max_norm,n_points_in_cluster,n_stages_in_cluster,stages_present,change_types_present
0,532.0,537.6188456205537,532.0,550.0,18.0,Fresh,slope_curvature_change,0.0001257360162357883,0.16741805046773744,0.24339611768527397,0.16741805046773744,2,1,Fresh,"local_maximum,slope_curvature_change"
1,613.0,610.6254001581668,587.0,635.0,48.0,Dry,slope_curvature_change,0.00011728869728306474,0.15617040867755946,0.706557645319043,0.15617040867755946,8,4,"Dry,Stage1,Stage2,Stage3","local_maximum,slope_curvature_change"
2,697.0,684.7638741478493,666.0,697.0,31.0,Fresh,slope_curvature_change,0.0007510302257403151,1.0,3.2960395236423907,1.0,10,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_minimum,slope_curvature_change"
3,915.0,915.0,915.0,915.0,0.0,Fresh,local_maximum,0.03879743680660652,0.044462338157835506,0.044462338157835506,0.044462338157835506,1,1,Fresh,local_maximum
4,944.0,944.0,944.0,944.0,0.0,Stage1,slope_curvature_change,7.662380057493756e-05,0.1020249224981684,0.1020249224981684,0.1020249224981684,1,1,Stage1,slope_curvature_change
5,985.0,982.4338607373925,973.0,985.0,12.0,Dry,slope_curvature_change,0.0001886429709472004,0.2511789332596419,0.6142327074155186,0.2511789332596419,3,2,"Dry,Fresh","local_minimum,slope_curvature_change"
6,1069.0,1069.0,1069.0,1069.0,0.0,Fresh,local_maximum,0.8725910155440022,1.0,1.0,1.0,1,1,Fresh,local_maximum
7,1106.0,1113.4191796428556,1106.0,1119.0,13.0,Stage1,local_maximum,0.850652750146372,0.9748584789359157,2.771609902667043,0.9748584789359157,3,3,"Stage1,Stage2,Stage3",local_maximum
8,1154.0,1155.3276834037617,1154.0,1159.0,5.0,Fresh,slope_curvature_change,0.00021539003919673894,0.2867927705365279,0.7621542442459613,0.2867927705365279,4,4,"Fresh,Stage1,Stage2,Stage3",slope_curvature_change
9,1194.0,1194.9710494804474,1194.0,1197.0,3.0,Stage1,local_minimum,0.03942464313898486,0.1334739922482102,0.5068609186049767,0.1334739922482102,4,4,"Fresh,Stage1,Stage2,Stage3",local_minimum
10,1269.0,1270.4235304124122,1267.0,1275.0,8.0,Stage1,local_maximum,0.03942464313898486,0.04518112430301179,0.17157309661678513,0.04518112430301179,4,4,"Fresh,Stage1,Stage2,Stage3",local_maximum
11,1313.0,1313.5172544542538,1313.0,1318.0,5.0,Dry,local_maximum,0.7204701838697529,0.8256676622100996,0.9209396939712233,0.8256676622100996,2,2,"Dry,Stage1","local_maximum,slope_curvature_change"
12,1377.0,1382.426952753384,1377.0,1404.0,27.0,Fresh,slope_curvature_change,0.00048093742012239593,0.6403702589310839,2.5120384766969392,0.6403702589310839,5,5,"Dry,Fresh,Stage1,Stage2,Stage3",slope_curvature_change
13,1446.0,1445.5804882764166,1443.0,1454.0,11.0,Fresh,local_minimum,0.2953732219657461,1.0,3.8640185398550493,1.0,5,5,"Dry,Fresh,Stage1,Stage2,Stage3",local_minimum
14,1653.0,1647.852398953825,1638.0,1653.0,15.0,Fresh,local_maximum,0.2953732219657461,0.3385013330461587,1.5150489084646925,0.3385013330461587,7,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_maximum,slope_curvature_change"
15,1726.0,1725.5219263864824,1725.0,1726.0,1.0,Dry,local_minimum,0.07418263282798754,0.2511488087318571,0.6415667798790415,0.2511488087318571,4,3,"Dry,Stage2,Stage3","local_minimum,slope_curvature_change"
16,1785.0,1785.0,1785.0,1785.0,0.0,Stage1,slope_curvature_change,7.953307034698487e-05,0.10589862780633964,0.10589862780633964,0.10589862780633964,1,1,Stage1,slope_curvature_change
17,1816.0,1816.0,1816.0,1816.0,0.0,Dry,slope_curvature_change,0.0002422220790237184,0.3225197478369824,0.3225197478369824,0.3225197478369824,1,1,Dry,slope_curvature_change
18,1861.0,1860.9999999999998,1861.0,1861.0,0.0,Dry,local_maximum,0.07418263282798754,0.08501420654868835,0.08501420654868835,0.08501420654868835,1,1,Dry,local_maximum
19,1926.0,1913.3486192202217,1893.0,1929.0,36.0,Stage2,local_minimum,0.19893897637469504,0.6735173048211041,5.112207045983608,0.6735173048211041,10,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_minimum,slope_curvature_change"
20,2010.0,2008.8876559236276,1996.0,2016.0,20.0,Dry,slope_curvature_change,0.0001350544857923741,0.1798256330619004,0.32016450024042997,0.1798256330619004,3,2,"Dry,Stage3","local_maximum,slope_curvature_change"
21,2143.0,2143.0,2143.0,2143.0,0.0,Dry,local_minimum,0.06627437879491938,0.2243750410204927,0.2243750410204927,0.2243750410204927,1,1,Dry,local_minimum
22,2224.0,2226.9282337970913,2222.0,2236.0,14.0,Stage2,local_maximum,0.19893897637469504,0.2279865055115997,1.27362788886111,0.2279865055115997,8,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_maximum,slope_curvature_change"
23,2307.0,2307.2233304546417,2307.0,2308.0,1.0,Dry,slope_curvature_change,0.0001906899526068484,0.25390449820961475,0.5517204813621682,0.25390449820961475,3,3,"Dry,Stage2,Stage3",slope_curvature_change
24,2480.0,2479.1654574674926,2478.0,2480.0,2.0,Dry,slope_curvature_change,9.813608065063761e-05,0.13066861663776802,0.22423575339712803,0.13066861663776802,2,2,"Dry,Stage3",slope_curvature_change
