stage,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,abs_second_derivative
Fresh,0,400.0,0.08954257518053055,0.089285153648849,-0.000780505619972699,1.608270300670206e-05,1.608270300670206e-05
Fresh,1,401.0,0.08859574794769287,0.0885046480288763,-0.0007644229169659969,2.3831693216153083e-05,2.3831693216153083e-05
Fresh,2,402.0,0.0876489207148552,0.087756307814917,-0.0007328422335403928,3.099596083781103e-05,3.099596083781103e-05
Fresh,3,403.0,0.08689359575510025,0.08703896356179551,-0.0007024309952903748,2.9826515662228353e-05,2.9826515662228353e-05
Fresh,4,404.0,0.08605318516492844,0.08635144582433625,-0.0006731892022159361,2.8657070486642205e-05,2.8657070486642205e-05
Fresh,5,405.0,0.08563829958438873,0.08569258515736364,-0.0006451168543170904,2.748762531104912e-05,2.748762531104912e-05
Fresh,6,406.0,0.08520212769508362,0.08506121211570207,-0.0006182139515938379,2.63181801354595e-05,2.63181801354595e-05
Fresh,7,407.0,0.08437234908342361,0.08445615725417596,-0.0005924804940461714,2.5148734959873353e-05,2.5148734959873353e-05
Fresh,8,408.0,0.08362767100334167,0.08387625112760973,-0.0005679164816740911,2.3979289784287205e-05,2.3979289784287205e-05
Fresh,9,409.0,0.08340426534414291,0.08332032429082778,-0.000544521914477597,2.2809844608701058e-05,2.2809844608701058e-05
Fresh,10,410.0,0.08308510482311249,0.08278720729865453,-0.000522296792456689,2.164039943311144e-05,2.164039943311144e-05
Fresh,11,411.0,0.08207447081804276,0.0822757307059144,-0.0005012411156113741,2.0470954257521823e-05,2.0470954257521823e-05
Fresh,12,412.0,0.08205317705869675,0.08178472506743178,-0.0004813548839416454,1.9301509081935675e-05,1.9301509081935675e-05
Fresh,13,413.0,0.08152127265930176,0.08131302093803111,-0.0004626380974475028,1.8132063905624413e-05,1.8132063905624413e-05
Fresh,14,414.0,0.08073403686285019,0.08085944887253678,-0.00044509075613039656,1.8673731414734634e-05,1.8673731414734634e-05
Fresh,15,415.0,0.08026594668626785,0.08042283942577032,-0.0004252906346180335,1.8104163321860933e-05,1.8104163321860933e-05
Fresh,16,416.0,0.08007445931434631,0.08000886760330071,-0.0004088824294866747,1.2120907028467104e-05,1.2120907028467104e-05
Fresh,17,417.0,0.07972340285778046,0.07960507456679697,-0.0004010488205610993,8.323777303895913e-06,8.323777303895913e-06
Fresh,18,418.0,0.07922340929508209,0.07920676996217851,-0.00039223487487888287,6.9457489501011105e-06,6.9457489501011105e-06
Fresh,19,419.0,0.07872340828180313,0.0788206048170392,-0.0003871573226608971,6.13619183424674e-06,6.13619183424674e-06
Fresh,20,420.0,0.0785425677895546,0.07843245531685672,-0.0003799624912103894,1.1697764138212524e-05,1.1697764138212524e-05
Fresh,21,421.0,0.07822341471910477,0.07806067983461842,-0.00036376179438447204,1.231728906891591e-05,1.231728906891591e-05
Fresh,22,422.0,0.07773406058549881,0.07770493172808778,-0.00035532791307255757,5.00739873697878e-06,5.00739873697878e-06
Fresh,23,423.0,0.07736171036958694,0.07735002400847331,-0.0003537469969105145,7.237704309333293e-06,7.237704309333293e-06
Fresh,24,424.0,0.0771489366889,0.07699743773426675,-0.000340852504453891,1.7621874920770164e-05,1.7621874920770164e-05
Fresh,25,425.0,0.07663829624652863,0.07666831899956553,-0.00031850324706897415,1.3248596198396634e-05,1.3248596198396634e-05
Fresh,26,426.0,0.07612766325473785,0.0763604312401288,-0.0003143553120570977,6.285514044000046e-06,6.285514044000046e-06
Fresh,27,427.0,0.07582979649305344,0.07603960837545133,-0.00030593221898097406,1.35767319657705e-05,1.35767319657705e-05
Fresh,28,428.0,0.07572341710329056,0.07574856680216685,-0.0002872018481255567,1.0607899929016007e-05,1.0607899929016007e-05
Fresh,29,429.0,0.07557447254657745,0.07546520467920022,-0.00028471641912294204,4.44276580248773e-06,4.44276580248773e-06
Fresh,30,430.0,0.07532979547977448,0.07517913396392097,-0.00027831631652058125,1.2575800633546352e-05,1.2575800633546352e-05
Fresh,31,431.0,0.07497872412204742,0.07490857204615906,-0.00025956481785584934,1.8075444553913855e-05,1.8075444553913855e-05
Fresh,32,432.0,0.07470211386680603,0.07466000432820927,-0.00024216542741275354,1.2877182420035355e-05,1.2877182420035355e-05
Fresh,33,433.0,0.07441487908363342,0.07442424119133355,-0.00023381045301577863,6.789746156046772e-06,6.789746156046772e-06
