stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score
Fresh,slope_curvature_change,132,532.0,0.12355319410562515,0.12303776477299896,0.001561313158976431,-0.0001261884346415998,0.0001257360162357883
Fresh,local_maximum,150,550.0,0.1357979029417038,0.13576480809104058,7.899943503669737e-07,-9.384295688515815e-05,0.06629777883242068
Fresh,local_minimum,266,666.0,0.06931914389133453,0.0694670292586199,-1.77868571750589e-05,3.8140393783792775e-05,0.06629777883242068
Fresh,slope_curvature_change,297,697.0,0.12059573084115982,0.12341719364999548,0.007779764137888376,0.000751260757508046,0.0007510302257403151
Fresh,local_maximum,515,915.0,0.937340259552002,0.9373863936314077,3.337016275917204e-06,-1.3851148436716532e-05,0.03879743680660652
Fresh,local_minimum,573,973.0,0.8987447023391724,0.8985889568248012,-2.081025139805126e-05,5.061021105726149e-05,0.03879743680660652
Fresh,slope_curvature_change,585,985.0,0.9013723731040955,0.9013975731028374,0.0006394809834672222,0.00017425148476721275,0.00017401612055700788
Fresh,local_maximum,669,1069.0,0.9418085813522339,0.9418583763526588,4.5613344958339574e-06,-1.6375835195758803e-05,0.8725910155440022
Fresh,slope_curvature_change,754,1154.0,0.8327447772026062,0.8335124594893242,-0.0024250665368221735,0.00021613991312363634,0.00021539003919673894
Fresh,local_minimum,797,1197.0,0.807893693447113,0.8079751002762942,1.033633986546878e-05,4.571133489758572e-05,0.036810704044991094
Fresh,local_maximum,867,1267.0,0.8447870016098022,0.8447858043212852,5.847008310966295e-06,-4.1739285649239344e-05,0.036810704044991094
Fresh,slope_curvature_change,977,1377.0,0.5623192191123962,0.5609748643375518,-0.007961740957821206,-0.00048098058361339957,0.00048093742012239593
Fresh,local_minimum,1046,1446.0,0.18271276354789734,0.1826025512265665,1.1831076716081745e-05,2.991690265841812e-05,0.2953732219657461
Fresh,local_maximum,1253,1653.0,0.4781382977962494,0.4779757731923126,-1.9095425948634226e-05,-4.032691579966552e-05,0.2953732219657461
Fresh,slope_curvature_change,1493,1893.0,0.09088297933340073,0.09174263630947661,-0.004392732322420809,0.0003598058267196627,0.000359773762627337
Fresh,local_minimum,1527,1927.0,0.05340426042675972,0.05341788821448826,-9.349629543634747e-06,1.6666966877422126e-05,0.15163725028347955
Fresh,local_maximum,1822,2222.0,0.20509573817253113,0.2050551384979678,1.2958600675655463e-05,-3.544851498665097e-05,0.14843034609114286
Stage1,local_maximum,187,587.0,0.11005319654941559,0.11000878909248828,5.020846360635767e-06,-4.191217091342389e-05,0.035372807095910036
Stage1,slope_curvature_change,235,635.0,0.09993619471788406,0.0994531880472329,-0.0002599447541445782,-8.817146723323968e-05,8.574784211140551e-05
Stage1,local_minimum,271,671.0,0.07464892417192459,0.07463598199657824,5.040708950020123e-05,9.888041749805607e-05,0.035372807095910036
Stage1,slope_curvature_change,290,690.0,0.10353189706802368,0.10457837431929388,0.004095592245870777,0.00036390881056080557,0.0003638526091188435
Stage1,slope_curvature_change,544,944.0,0.800680935382843,0.8004443761624397,0.001015954148312459,-7.665339344634092e-05,7.662380057493756e-05
Stage1,local_maximum,706,1106.0,0.9195957779884338,0.9196605837336358,4.210101664958721e-06,-1.0409231843672151e-05,0.850652750146372
Stage1,slope_curvature_change,755,1155.0,0.8474361896514893,0.8479404532037533,-0.0016751458405218633,0.00016659912897662443,0.0001660597036263478
Stage1,local_minimum,794,1194.0,0.8331488966941833,0.8331467634457856,9.378826115735706e-07,3.880175580775469e-05,0.03942464313898486
Stage1,local_maximum,869,1269.0,0.872574508190155,0.8725714065847705,-1.8659782838881256e-05,-3.5370359985908983e-05,0.03942464313898486
Stage1,slope_curvature_change,918,1318.0,0.8231063485145569,0.8229844941385229,-0.0023601882642652616,-7.260498949673844e-05,7.155217552029525e-05
Stage1,slope_curvature_change,979,1379.0,0.6128725409507751,0.6114319846228216,-0.008165016633239874,-0.00045549519573281905,0.00045545414521111494
Stage1,local_minimum,1043,1443.0,0.24538299441337585,0.24532149497798067,1.1012444832231294e-05,4.0391373606001035e-05,0.2951450679104172
Stage1,local_maximum,1249,1649.0,0.5406382083892822,0.5404665628883979,1.8102655107987697e-05,-5.545268159795613e-05,0.2951450679104172
Stage1,slope_curvature_change,1385,1785.0,0.4463724195957184,0.44635181787316436,-0.00014396832907620505,7.995225949482265e-05,7.953307034698487e-05
Stage1,slope_curvature_change,1495,1895.0,0.11515958607196808,0.11617846918296731,-0.005371266895194286,0.0003973925684921664,0.0003970868422916163
Stage1,local_minimum,1526,1926.0,0.06625530868768692,0.06621619869452398,-7.646004074629564e-06,3.5416927433123274e-05,0.18307337241275085
Stage1,local_maximum,1823,2223.0,0.2492872178554535,0.24928957110727484,1.831484107352177e-05,-4.4832541967541883e-05,0.1785244977036589
Stage2,local_maximum,191,591.0,0.12102129310369492,0.12087897934823036,-2.6684003141985713e-05,-7.470826432749017e-05,0.04021710302051104
Stage2,slope_curvature_change,214,614.0,0.10942554473876953,0.10968825916770297,-0.00015645466096203542,8.794650776747237e-05,8.402483978355718e-05
Stage2,local_minimum,271,671.0,0.08051063865423203,0.08066187632771932,1.0901858446418777e-05,0.00015631606483080748,0.04021710302051104
Stage2,slope_curvature_change,285,685.0,0.09889364242553711,0.09925123154724902,0.002827322165344988,0.00022940099181335133,0.00022935459011875353
Stage2,local_maximum,716,1116.0,0.924021303653717,0.9241127649709646,-9.998801214772257e-07,-3.0678576665554846e-05,0.8128757557018615
Stage2,slope_curvature_change,756,1156.0,0.8738297820091248,0.8741950833986402,-0.0011984348230816844,0.00012035329459544886,0.00012028273972930492
Stage2,local_minimum,794,1194.0,0.862840473651886,0.8627721397564696,-3.4691693387434164e-06,3.462983149349341e-05,0.03853103821361148
Stage2,local_maximum,871,1271.0,0.9013084769248962,0.9013031779700811,-6.486361399771212e-06,-2.5385591990806367e-05,0.03853103821361148
Stage2,slope_curvature_change,980,1380.0,0.6913405060768127,0.6901230250442334,-0.0069601599174893836,-0.00040104901908755153,0.0004006911056723683
Stage2,local_minimum,1044,1444.0,0.34340429306030273,0.3433351232713918,2.4121478071903457e-05,4.775942107254627e-05,0.26253910540376224
Stage2,local_maximum,1247,1647.0,0.6060105562210083,0.6058742286751541,-1.725995970980332e-05,-6.02480437350561e-05,0.26253910540376224
Stage2,slope_curvature_change,1326,1726.0,0.5464681386947632,0.5467635387235684,-0.0006187107568081385,6.393936378601417e-05,6.286259855492471e-05
Stage2,slope_curvature_change,1498,1898.0,0.17494678497314453,0.17561046000419128,-0.006303953423316841,0.00041302576184944206,0.0004129956974085504
Stage2,local_minimum,1526,1926.0,0.11358508467674255,0.11354613230980597,-3.109642660754225e-05,7.026405289840137e-05,0.19893897637469504
Stage2,local_maximum,1824,2224.0,0.3125212490558624,0.312485108684501,1.7534907154198587e-05,-5.687545393168181e-05,0.19893897637469504
