stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score,score_abs,score_norm,common_id,common_representative_wavelength_nm
Fresh,slope_curvature_change,133,533.0,0.1047000139951706,0.1041440694615553,0.0013660279087837138,-0.00013180378048825714,0.00013108786418906428,0.00013108786418906428,0.1695191583247077,0,533.0
Fresh,local_maximum,148,548.0,0.11308997869491577,0.1133440874825073,2.1630442863365684e-05,-8.115969430281048e-05,0.05618382901720076,0.05618382901720076,0.06580893602770153,0,533.0
Stage1,local_maximum,156,556.0,0.08934000134468079,0.08934981861964283,-1.8050517619078166e-06,-3.974221342403772e-05,0.026750111959768952,0.026750111959768952,0.03133279517412992,0,533.0
Stage2,local_maximum,160,560.0,0.10020001232624054,0.1000702665166193,-6.904552264708208e-06,-4.6164719000822e-05,0.031725883249571665,0.031725883249571665,0.03716098845014981,0,533.0
Stage3,local_maximum,162,562.0,0.10738001763820648,0.10724448334451299,-2.24738796278795e-05,-4.26275790301224e-05,0.035051762372094356,0.035051762372094356,0.04105663903571164,0,533.0
Dry,local_maximum,165,565.0,0.14084000885486603,0.14070480769758248,-3.4132308407430756e-07,-3.3109192404470744e-05,0.04174294768076135,0.04174294768076135,0.04889412169985602,0,533.0
Dry,slope_curvature_change,238,638.0,0.12573999166488647,0.12538336962008972,-0.0005813010755708753,-8.184854395138288e-05,8.105369154219264e-05,8.105369154219264e-05,0.10481636613993454,1,699.0
Fresh,local_minimum,258,658.0,0.054139990359544754,0.05399747968920793,6.759817635631354e-06,1.684606777098245e-05,0.059346607793299366,0.059346607793299366,0.18998102623750504,1,699.0
Stage1,local_minimum,268,668.0,0.060050010681152344,0.060070728531862544,-2.011828503493962e-05,3.7057817792948006e-05,0.02927909008778029,0.02927909008778029,0.09372855145403781,1,699.0
Stage2,local_minimum,270,670.0,0.06737001240253448,0.06728853800275689,-3.8095272904964395e-06,5.8892924842991745e-05,0.03278172851386241,0.03278172851386241,0.10494123685374371,1,699.0
Dry,local_minimum,270,670.0,0.0991000086069107,0.09896186001682113,-3.564029416681935e-05,0.00010668191674933006,0.04174294768076135,0.04174294768076135,0.13362799212029966,1,699.0
Stage3,local_minimum,271,671.0,0.07232002168893814,0.07219272097241863,3.342928220027852e-05,7.274152841187098e-05,0.035051762372094356,0.035051762372094356,0.11220809469139556,1,699.0
Dry,slope_curvature_change,290,690.0,0.1346299648284912,0.13573006834973336,0.004992483358723432,0.0004321365112517628,0.000432009733094485,0.000432009733094485,0.5586628998443023,1,699.0
Stage3,slope_curvature_change,292,692.0,0.10586001724004745,0.10702115941793475,0.004790104079163776,0.0004321462283111803,0.00043184146422931696,0.00043184146422931696,0.558445299255781,1,699.0
Stage2,slope_curvature_change,293,693.0,0.10186998546123505,0.10312639452898648,0.00478779069347738,0.0004135808926378874,0.00041344792399672023,0.00041344792399672023,0.5346592876510426,1,699.0
Stage1,slope_curvature_change,295,695.0,0.09771998226642609,0.09969997340307189,0.005673612958515685,0.0005243109016088501,0.0005243007680959602,0.0005243007680959602,0.6780110841415286,1,699.0
Fresh,slope_curvature_change,299,699.0,0.10609002411365509,0.10857710475078133,0.007861430188385449,0.0007733911961853301,0.0007732923256849253,0.0007732923256849253,1.0,1,699.0
Fresh,local_maximum,519,919.0,0.8914401531219482,0.8913718143805267,4.0143327437180965e-06,-1.6563349636067315e-05,0.029278432139130284,0.029278432139130284,0.034294253370405536,2,919.0
Fresh,local_minimum,572,972.0,0.8622100353240967,0.8620933822413964,-3.4077444288072023e-06,4.537940169990762e-05,0.029278432139130284,0.029278432139130284,0.09372644522144276,3,985.0
Dry,slope_curvature_change,585,985.0,0.850879967212677,0.8508625885439189,0.0009215739182242277,0.0002302933446268196,0.00023015850486449163,0.00023015850486449163,0.29763453899614767,3,985.0
Fresh,local_maximum,679,1079.0,0.9077003598213196,0.9077391203920876,-2.6913525325023002e-06,-7.199733584428714e-06,0.8537416407028797,0.8537416407028797,1.0,4,1079.0
Stage1,local_maximum,694,1094.0,0.9059800505638123,0.9059768793302684,8.278951954543423e-07,-7.548501221837922e-06,0.8320974312185199,0.8320974312185199,0.9746478226521312,4,1079.0
Stage2,local_maximum,711,1111.0,0.8948900699615479,0.8949475985154566,2.6282791373843928e-06,-1.0355011145518622e-05,0.783070124948776,0.783070124948776,0.9172214257981838,4,1079.0
Stage3,local_maximum,717,1117.0,0.9045300483703613,0.9045954182109324,-5.875990911285989e-06,-1.7956755124920454e-05,0.7336587445157419,0.7336587445157419,0.8593451572910578,4,1079.0
Dry,local_maximum,724,1124.0,0.8957198262214661,0.895750690415426,1.1845767672880037e-06,-1.5970271667248293e-05,0.026703701431317173,0.026703701431317173,0.03127843384719081,4,1079.0
Stage1,slope_curvature_change,732,1132.0,0.8935001492500305,0.8931501396312738,-0.001568436417689112,-0.00014378481831511802,0.0001435954414178986,0.0001435954414178986,0.1856936072535213,4,1079.0
Fresh,slope_curvature_change,732,1132.0,0.8838599920272827,0.8832340122221235,-0.002296074813508464,-0.00019581258953946246,0.00019512725365825045,0.00019512725365825045,0.25233310505884193,4,1079.0
Stage2,slope_curvature_change,732,1132.0,0.888029932975769,0.8877817651405214,-0.0010374232332533984,-9.65994799602965e-05,9.646335335486422e-05,9.646335335486422e-05,0.12474370965653138,4,1079.0
Stage2,local_minimum,796,1196.0,0.829740047454834,0.829719462527528,5.546727837701937e-06,4.5537412172613756e-05,0.03957571523690162,0.03957571523690162,0.12669022332290303,5,1196.0
Fresh,local_minimum,796,1196.0,0.7853000164031982,0.7853609165222617,1.750599688238319e-05,5.576266613419034e-05,0.04300612658457992,0.04300612658457992,0.13767169458944253,5,1196.0
Stage1,local_minimum,796,1196.0,0.8183799982070923,0.8183736489110314,2.1061182793602473e-05,4.997905518949741e-05,0.04139374120735084,0.04139374120735084,0.13251010844245953,5,1196.0
Stage3,local_minimum,797,1197.0,0.8560001254081726,0.8559382794683952,7.774223149570325e-06,4.17838068048626e-05,0.0386343537368804,0.0386343537368804,0.12367672633487972,5,1196.0
Dry,local_minimum,799,1199.0,0.8690498471260071,0.8690469889841088,-6.236608354692752e-06,3.3384045294682085e-05,0.026703701431317173,0.026703701431317173,0.08548418841277676,5,1196.0
Fresh,local_maximum,870,1270.0,0.8283500075340271,0.8283670431068416,-1.4634712338701394e-05,-3.51089680926675e-05,0.04300612658457992,0.04300612658457992,0.05037370152072384,6,1270.0
Stage1,local_maximum,871,1271.0,0.8597703576087952,0.8597673901183822,7.795867429105652e-06,-2.6483243559749514e-05,0.04139374120735084,0.04139374120735084,0.048485091078926006,6,1270.0
Stage2,local_maximum,876,1276.0,0.8692499399185181,0.8692951777644297,1.5725494214025026e-06,-1.5237822862057548e-05,0.03957571523690162,0.03957571523690162,0.04635561081959081,6,1270.0
Stage3,local_maximum,883,1283.0,0.8945198059082031,0.8945726332052756,1.4682759504891507e-06,-9.121850776422358e-06,0.0386343537368804,0.0386343537368804,0.04525298040408688,6,1270.0
Dry,local_maximum,914,1314.0,0.9118298888206482,0.9118355356027666,-5.038578501370683e-06,-1.4498017653741258e-05,0.6341489396316836,0.6341489396316836,0.7427878756266276,7,1314.0
Fresh,slope_curvature_change,977,1377.0,0.5615798830986023,0.5602850384225732,-0.007836453997096426,-0.00047437186588447644,0.0004743410163069173,0.0004743410163069173,0.6134045309279139,8,1377.0
Stage1,slope_curvature_change,979,1379.0,0.6318899393081665,0.6305759948785359,-0.007524423071426256,-0.000441967108961161,0.00044183152481888643,0.00044183152481888643,0.57136416610309,8,1377.0
Stage2,slope_curvature_change,980,1380.0,0.6929300427436829,0.6917903281244011,-0.006189932830654832,-0.00037857289049794685,0.0003780144510610456,0.0003780144510610456,0.48883771182680275,8,1377.0
Stage3,slope_curvature_change,984,1384.0,0.756320059299469,0.7556554137882632,-0.005160653831647877,-0.0002716961373742388,0.0002716122092848161,0.0002716122092848161,0.3512413097391624,8,1377.0
Dry,slope_curvature_change,1031,1431.0,0.7144200801849365,0.7148096433470602,-0.0027627314152062765,0.00019868937254985397,0.00019853578917905512,0.00019853578917905512,0.2567409278285631,9,1445.0
Stage1,local_minimum,1044,1444.0,0.27066004276275635,0.27060307511268317,1.730118238812972e-05,4.1725485989560496e-05,0.302686948746218,0.302686948746218,0.9689648539271398,9,1445.0
Stage2,local_minimum,1044,1444.0,0.35927000641822815,0.3591880997604511,-3.001017618242674e-06,4.8858831879661224e-05,0.26513735511350467,0.26513735511350467,0.848760673799601,9,1445.0
Fresh,local_minimum,1045,1445.0,0.18630000948905945,0.1862863740736878,-8.60960282959844e-06,3.369391870122057e-05,0.3123817623719283,0.3123817623719283,1.0,9,1445.0
