common_id,representative_wavelength_nm,weighted_mean_wavelength_nm,wavelength_min_nm,wavelength_max_nm,wavelength_span_nm,representative_stage,representative_change_type,representative_score,representative_score_norm,cluster_score_sum_norm,cluster_score_max_norm,n_points_in_cluster,n_stages_in_cluster,stages_present,change_types_present
0,533.0,546.8820956729807,533.0,565.0,32.0,Fresh,slope_curvature_change,0.00013108786418906428,0.1695191583247077,0.39377263871225665,0.1695191583247077,6,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_maximum,slope_curvature_change"
1,699.0,688.676780973901,638.0,699.0,61.0,Fresh,slope_curvature_change,0.0007732923256849253,1.0,4.069081838389571,1.0,11,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_minimum,slope_curvature_change"
2,919.0,919.0,919.0,919.0,0.0,Fresh,local_maximum,0.029278432139130284,0.034294253370405536,0.034294253370405536,0.034294253370405536,1,1,Fresh,local_maximum
3,985.0,981.8866498271035,972.0,985.0,13.0,Dry,slope_curvature_change,0.00023015850486449163,0.29763453899614767,0.3913609842175904,0.29763453899614767,2,2,"Dry,Fresh","local_minimum,slope_curvature_change"
4,1079.0,1103.8224962073296,1079.0,1132.0,53.0,Fresh,local_maximum,0.8537416407028797,1.0,4.3452632615574585,1.0,8,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_maximum,slope_curvature_change"
5,1196.0,1196.6272419629233,1196.0,1199.0,3.0,Fresh,local_minimum,0.04300612658457992,0.13767169458944253,0.6060329411024615,0.13767169458944253,5,5,"Dry,Fresh,Stage1,Stage2,Stage3",local_minimum
6,1270.0,1274.803486470409,1270.0,1283.0,13.0,Fresh,local_maximum,0.04300612658457992,0.05037370152072384,0.19046738382332754,0.05037370152072384,4,4,"Fresh,Stage1,Stage2,Stage3",local_maximum
7,1314.0,1314.0,1314.0,1314.0,0.0,Dry,local_maximum,0.6341489396316836,0.7427878756266276,0.7427878756266276,0.7427878756266276,1,1,Dry,local_maximum
8,1377.0,1379.5028700130456,1377.0,1384.0,7.0,Fresh,slope_curvature_change,0.0004743410163069173,0.6134045309279139,2.0248477185969693,0.6134045309279139,4,4,"Fresh,Stage1,Stage2,Stage3",slope_curvature_change
9,1445.0,1444.3326870611495,1431.0,1453.0,22.0,Fresh,local_minimum,0.3123817623719283,1.0,3.990870392891666,1.0,6,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_minimum,slope_curvature_change"
10,1657.0,1651.9829692435762,1641.0,1657.0,16.0,Fresh,local_maximum,0.3123817623719283,0.36589730133667425,1.3663078941083482,0.36589730133667425,5,5,"Dry,Fresh,Stage1,Stage2,Stage3",local_maximum
11,1724.0,1723.7898029929743,1723.0,1724.0,1.0,Dry,local_minimum,0.0769223031555003,0.24624453928240214,0.7262929439025428,0.24624453928240214,4,3,"Dry,Stage2,Stage3","local_minimum,slope_curvature_change"
12,1759.0,1759.0,1759.0,1759.0,0.0,Stage3,local_minimum,0.026107264211196468,0.08357486689671918,0.08357486689671918,0.08357486689671918,1,1,Stage3,local_minimum
13,1928.0,1905.6061717533644,1816.0,1931.0,115.0,Stage2,local_minimum,0.21246479297957696,0.6801446773535131,5.706492677886386,0.6801446773535131,13,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_maximum,local_minimum,slope_curvature_change"
14,1999.0,1999.0,1999.0,1999.0,0.0,Dry,local_maximum,0.062036394012118024,0.07266413052202055,0.07266413052202055,0.07266413052202055,1,1,Dry,local_maximum
15,2057.0,2057.0,2057.0,2057.0,0.0,Dry,slope_curvature_change,0.00011723597363255678,0.1516062810124461,0.1516062810124461,0.1516062810124461,1,1,Dry,slope_curvature_change
16,2108.0,2108.0,2108.0,2108.0,0.0,Dry,local_minimum,0.03155065935064666,0.1010003244462197,0.1010003244462197,0.1010003244462197,1,1,Dry,local_minimum
17,2216.0,2221.149158773559,2215.0,2234.0,19.0,Stage2,local_maximum,0.21246479297957696,0.24886310196215347,1.3972572955135552,0.24886310196215347,8,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_maximum,slope_curvature_change"
18,2304.0,2304.0622778979505,2303.0,2306.0,3.0,Dry,slope_curvature_change,0.00019392547553541417,0.25077899921436475,0.6227139615769614,0.25077899921436475,4,3,"Dry,Stage2,Stage3","local_minimum,slope_curvature_change"
19,2399.0,2399.0,2399.0,2399.0,0.0,Dry,local_maximum,0.030526293346909483,0.03575589135113217,0.03575589135113217,0.03575589135113217,1,1,Dry,local_maximum
20,2481.0,2481.0,2481.0,2481.0,0.0,Stage3,slope_curvature_change,7.566144831083754e-05,0.09784326806013782,0.09784326806013782,0.09784326806013782,1,1,Stage3,slope_curvature_change
