common_id,representative_wavelength_nm,weighted_mean_wavelength_nm,wavelength_min_nm,wavelength_max_nm,wavelength_span_nm,representative_stage,representative_change_type,representative_score,representative_score_norm,cluster_score_sum_norm,cluster_score_max_norm,n_points_in_cluster,n_stages_in_cluster,stages_present,change_types_present
0,528.0,531.4736753192773,527.0,551.0,24.0,Stage2,slope_curvature_change,0.00036404706181353275,0.29691420276065367,1.462317888154157,0.29691420276065367,6,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_maximum,slope_curvature_change"
1,591.0,609.5001328761806,587.0,641.0,54.0,Stage2,slope_curvature_change,0.0007805388956879239,0.6366019898151695,5.066363283965089,0.6366019898151695,15,4,"Dry,Stage1,Stage2,Stage3","local_maximum,local_minimum,slope_curvature_change"
2,691.0,676.486205801599,671.0,691.0,20.0,Fresh,slope_curvature_change,0.0012261018786864693,1.0,3.9551119407671935,1.0,6,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_minimum,slope_curvature_change"
3,718.0,718.8224939673745,717.0,721.0,4.0,Stage2,slope_curvature_change,0.0011776919252638914,0.9605171851833064,3.0403190320745455,0.9605171851833064,4,4,"Dry,Stage1,Stage2,Stage3",slope_curvature_change
4,904.0,904.4910322069902,904.0,918.0,14.0,Fresh,local_maximum,0.9046747275638279,0.9630046953878921,0.998008577857943,0.9630046953878921,2,2,"Fresh,Stage1",local_maximum
5,973.0,975.943229342695,972.0,985.0,13.0,Fresh,local_minimum,0.041362978176707976,0.1251503813577508,0.3086351490549593,0.1251503813577508,3,3,"Dry,Fresh,Stage1","local_minimum,slope_curvature_change"
6,1066.0,1066.94443285004,1065.0,1068.0,3.0,Stage2,local_maximum,0.9394291968632933,1.0,2.936039494563196,1.0,4,4,"Fresh,Stage1,Stage2,Stage3",local_maximum
7,1114.0,1114.0,1114.0,1114.0,0.0,Dry,local_maximum,0.7107746417796057,0.7566026733604261,0.7566026733604261,0.7566026733604261,1,1,Dry,local_maximum
8,1154.0,1154.0,1154.0,1154.0,0.0,Fresh,slope_curvature_change,0.00022516031274416592,0.18363915483547058,0.3444874474394344,0.18363915483547058,2,2,"Fresh,Stage1",slope_curvature_change
9,1195.0,1195.0,1195.0,1195.0,0.0,Fresh,local_minimum,0.02779753350526759,0.08410593415510133,0.08410593415510133,0.08410593415510133,1,1,Fresh,local_minimum
10,1266.0,1266.0,1266.0,1266.0,0.0,Fresh,local_maximum,0.02779753350526759,0.029589812194556177,0.029589812194556177,0.029589812194556177,1,1,Fresh,local_maximum
11,1377.0,1378.6546744195161,1377.0,1381.0,4.0,Fresh,slope_curvature_change,0.0005113244748341794,0.4170326167202064,1.5863779800684976,0.4170326167202064,4,4,"Fresh,Stage1,Stage2,Stage3",slope_curvature_change
12,1443.0,1443.1863664900961,1439.0,1453.0,14.0,Fresh,local_minimum,0.33050620963326605,1.0,4.325393450798608,1.0,6,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_minimum,slope_curvature_change"
13,1676.0,1660.2712993523855,1636.0,1676.0,40.0,Fresh,local_maximum,0.33050620963326605,0.3518159864913818,1.4998890642164597,0.3518159864913818,6,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_maximum,slope_curvature_change"
14,1730.0,1728.4111856661955,1726.0,1730.0,4.0,Dry,local_minimum,0.0404363915283511,0.12234684356829435,0.20296544606014602,0.12234684356829435,2,1,Dry,"local_minimum,slope_curvature_change"
15,1816.0,1816.0,1816.0,1816.0,0.0,Dry,slope_curvature_change,8.839179560843347e-05,0.07209172185848713,0.07209172185848713,0.07209172185848713,1,1,Dry,slope_curvature_change
16,1859.0,1859.0,1859.0,1859.0,0.0,Dry,local_maximum,0.0404363915283511,0.04304357546408625,0.04304357546408625,0.04304357546408625,1,1,Dry,local_maximum
17,1926.0,1915.283168949369,1892.0,1930.0,38.0,Stage2,local_minimum,0.22269063524992233,0.6737865394330192,4.288134806308318,0.6737865394330192,10,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_minimum,slope_curvature_change"
18,2009.0,2005.1345482225945,1998.0,2009.0,11.0,Dry,slope_curvature_change,0.00012843503407389267,0.10475070327066617,0.16150395232149778,0.10475070327066617,2,1,Dry,"local_maximum,slope_curvature_change"
19,2141.0,2141.0,2141.0,2141.0,0.0,Dry,local_minimum,0.06569888192694079,0.1987825947350312,0.1987825947350312,0.1987825947350312,1,1,Dry,local_minimum
20,2227.0,2226.396495720945,2222.0,2235.0,13.0,Stage3,local_maximum,0.21377599092205474,0.22755944954217092,0.9937157552486159,0.22755944954217092,6,5,"Dry,Fresh,Stage1,Stage2,Stage3","local_maximum,slope_curvature_change"
21,2308.0,2308.0,2308.0,2308.0,0.0,Dry,slope_curvature_change,0.0001338045015314704,0.1091300028630704,0.1091300028630704,0.1091300028630704,1,1,Dry,slope_curvature_change
