stage,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,abs_second_derivative
Fresh,0,400.0,0.06736169755458832,0.06741070370862189,-0.0008789940807233804,1.7380683108261796e-05,1.7380683108261796e-05
Fresh,1,401.0,0.0665106326341629,0.0665317096278985,-0.0008616133976151186,2.5892620022654328e-05,2.5892620022654328e-05
Fresh,2,402.0,0.06570212543010712,0.06568747691339165,-0.0008272088406780717,3.4047747657577065e-05,3.4047747657577065e-05
Fresh,3,403.0,0.06487231701612473,0.06487729194654236,-0.0007935179022999644,3.333412909863748e-05,3.333412909863748e-05
Fresh,4,404.0,0.06393615901470184,0.06410044110879172,-0.0007605405824807968,3.262051053969789e-05,3.262051053969789e-05
Fresh,5,405.0,0.0635957345366478,0.06335621078158077,-0.0007282768812205687,3.19068919807583e-05,3.19068919807583e-05
Fresh,6,406.0,0.06306382268667221,0.06264388734635058,-0.0006967267985192802,3.119327342182045e-05,3.119327342182045e-05
Fresh,7,407.0,0.061797868460416794,0.06196275718454221,-0.0006658903343769278,3.0479654862882594e-05,3.0479654862882594e-05
Fresh,8,408.0,0.06105319410562515,0.06131210667759673,-0.000635767488793515,2.976603630394127e-05,2.976603630394127e-05
Fresh,9,409.0,0.060436174273490906,0.06069122220695518,-0.0006063582617690452,2.9052417745001682e-05,2.9052417745001682e-05
Fresh,10,410.0,0.06003192067146301,0.060099390154058636,-0.0005776626533035116,2.8338799186062094e-05,2.8338799186062094e-05
Fresh,11,411.0,0.05988296493887901,0.059535896900348155,-0.000549680663396921,2.7625180627122506e-05,2.7625180627122506e-05
Fresh,12,412.0,0.05912766233086586,0.059000028827264794,-0.0005224122920492666,2.6911562068184652e-05,2.6911562068184652e-05
Fresh,13,413.0,0.05855318903923035,0.05849107231624962,-0.0004958575392605517,2.619794350872985e-05,2.619794350872985e-05
Fresh,14,414.0,0.05809573829174042,0.05800831374874369,-0.0004700164050318069,2.392784439794564e-05,2.392784439794564e-05
Fresh,15,415.0,0.05737234652042389,0.05755103950618601,-0.00044800185046466046,2.1008090639734744e-05,2.1008090639734744e-05
Fresh,16,416.0,0.05703191086649895,0.05711231004781437,-0.0004280002237523374,2.1722002861140205e-05,2.1722002861140205e-05
Fresh,17,417.0,0.05675533041357994,0.05669503905868133,-0.00040455784474238005,2.5314872313862008e-05,2.5314872313862008e-05
Fresh,18,418.0,0.056202132254838943,0.05630319435832961,-0.0003773704791246134,2.5648344562411232e-05,2.5648344562411232e-05
Fresh,19,419.0,0.055787231773138046,0.055940298100432106,-0.0003532611556175576,2.803966882936916e-05,2.803966882936916e-05
Fresh,20,420.0,0.05550001561641693,0.055596672047094495,-0.00032129114146587506,3.498081343518422e-05,3.498081343518422e-05
Fresh,21,421.0,0.055393628776073456,0.055297715817500356,-0.00028329952874718914,2.3283853762271628e-05,2.3283853762271628e-05
Fresh,22,422.0,0.05501063913106918,0.055030072989600116,-0.0002747234339413318,4.127172423401548e-06,4.127172423401548e-06
Fresh,23,423.0,0.05482979118824005,0.05474826894961769,-0.00027504518390038604,7.6104577644686006e-06,7.6104577644686006e-06
Fresh,24,424.0,0.054585106670856476,0.054479982621799344,-0.0002595025184123946,1.8729215484259223e-05,1.8729215484259223e-05
Fresh,25,425.0,0.054244671016931534,0.054229263912792904,-0.0002375867529318676,2.6785704998618168e-05,2.6785704998618168e-05
Fresh,26,426.0,0.054021287709474564,0.05400480911593561,-0.00020593110841515827,2.8125097168410843e-05,2.8125097168410843e-05
Fresh,27,427.0,0.053882990032434464,0.05381740169596259,-0.0001813365585950459,1.7871145964788032e-05,1.7871145964788032e-05
Fresh,28,428.0,0.053648948669433594,0.05364213599874552,-0.0001701888164855822,1.2124004836040064e-05,1.2124004836040064e-05
Fresh,29,429.0,0.053308527916669846,0.05347702406299142,-0.00015708854892296578,1.1516727517658573e-05,1.1516727517658573e-05
Fresh,30,430.0,0.05320214107632637,0.053327958900899586,-0.00014715536145026506,1.0489307879647802e-05,1.0489307879647802e-05
Fresh,31,431.0,0.05320213735103607,0.05318271334009089,-0.00013610993316367018,1.3787784032692416e-05,1.3787784032692416e-05
Fresh,32,432.0,0.05318085849285126,0.053055739034572245,-0.00011957979338488023,1.2329934204999976e-05,1.2329934204999976e-05
Fresh,33,433.0,0.053117021918296814,0.05294355375332113,-0.00011145006475367022,6.168908765898443e-06,6.168908765898443e-06
Fresh,34,434.0,0.052914902567863464,0.052832838905064905,-0.00010724197585308334,7.561503102706743e-06,7.561503102706743e-06
Fresh,35,435.0,0.05270212143659592,0.052729069801614965,-9.632705854825674e-05,1.5588947106105755e-05,1.5588947106105755e-05
Fresh,36,436.0,0.05253191292285919,0.05264018478796839,-7.606408164087183e-05,1.8580288067121184e-05,1.8580288067121184e-05
Fresh,37,437.0,0.05249999836087227,0.05257694163833322,-5.916648241401437e-05,1.3998746819208346e-05,1.3998746819208346e-05
Fresh,38,438.0,0.05260637402534485,0.05252185182314036,-4.806658800245514e-05,1.2551649628152889e-05,1.2551649628152889e-05
Fresh,39,439.0,0.0525425560772419,0.05248080846232831,-3.406318315770859e-05,1.2276734015716564e-05,1.2276734015716564e-05
Fresh,40,440.0,0.05245744436979294,0.052453725456824946,-2.3513119971022012e-05,9.792706658762543e-06,9.792706658762543e-06
Fresh,41,441.0,0.052382975816726685,0.05243378222238627,-1.4477769840183508e-05,1.0717874254427898e-05,1.0717874254427898e-05
Fresh,42,442.0,0.0524042509496212,0.05242476991714458,-2.0773714621662165e-06,1.1265644496058838e-05,1.1265644496058838e-05
Fresh,43,443.0,0.05232978239655495,0.052429627479461935,8.053519151934169e-06,6.786146216167591e-06,6.786146216167591e-06
Fresh,44,444.0,0.0524042509496212,0.05244087695544845,1.1494920970168965e-05,3.947238340356804e-06,3.947238340356804e-06
Fresh,45,445.0,0.05245744436979294,0.05245261732140227,1.5947995832647777e-05,8.292742102160994e-06,8.292742102160994e-06
Fresh,46,446.0,0.05242552608251572,0.05247277294711374,2.8080405174490952e-05,1.3012812897714165e-05,1.3012812897714165e-05
Fresh,47,447.0,0.0524042509496212,0.052508778131751255,4.197362162807611e-05,1.1203452038390654e-05,1.1203452038390654e-05
Fresh,48,448.0,0.05253191664814949,0.052556720190369895,5.048730925127226e-05,6.555036668687286e-06,6.555036668687286e-06
Fresh,49,449.0,0.052648935467004776,0.0526097527502538,5.508369496545068e-05,2.448142760749783e-06,2.448142760749783e-06
Fresh,50,450.0,0.052744682878255844,0.052666887580300796,5.538359477277183e-05,-1.1451370597465038e-06,1.1451370597465038e-06
Fresh,51,451.0,0.052776601165533066,0.05272051993979934,5.279342084595767e-05,-4.440167253368793e-07,4.440167253368793e-07
Fresh,52,452.0,0.052765969187021255,0.05277247442199271,5.449556132209807e-05,3.965010129862098e-06,3.965010129862098e-06
Fresh,53,453.0,0.0528191514313221,0.05282951106244354,6.072344110568187e-05,4.951320196807871e-06,4.951320196807871e-06
Fresh,54,454.0,0.05293617397546768,0.052893921304204075,6.439820171571381e-05,1.0690178026372121e-06,1.0690178026372121e-06
Fresh,55,455.0,0.05298935994505882,0.05295830746587497,6.28614767109563e-05,-3.49646013213592e-06,3.49646013213592e-06
Fresh,56,456.0,0.053042564541101456,0.05301964425762599,5.740528145144197e-05,-5.515060986616138e-06,5.515060986616138e-06
Fresh,57,457.0,0.053085118532180786,0.05307311802877785,5.183135473772402e-05,-5.484910112825425e-06,5.484910112825425e-06
